id,ieul_店舗id,branch_id,市区町村,city_id,名前,性別,gender,年齢,住所全部,物件種別,property_type,売却回数,sales_count,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点
971,973,973,門真市,1266,増田 礼子,その他・不明,99,60,岸和田３丁目,土地,3,2回目,2,2018-08-10,2018-10-10,2018-10-10,2018-10-17,2019-03-20,21000000,24000000,0,,,23500000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
972,974,974,名古屋市中川区,1119,櫻井 浩之,男性,1,63,富田町大字千音寺字諸桑,戸建て,2,3回以上,3,2017-11-30,2018-07-31,2018-08-07,2019-05-28,2019-05-28,22600000,22600000,0,,,21900000,3,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
973,975,975,二本松市,402,鵜飼 正俊,男性,1,53,上川崎字芳田,マンション,1,初めて,1,2018-09-20,2018-09-20,2018-09-20,2018-10-25,2018-10-25,10000000,10000000,0,,,9300000,3,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
974,976,976,伊達市,128,金 翔平,その他・不明,99,58,梁川町山舟生字萩,土地,3,2回目,2,2018-11-01,2018-11-01,2018-11-01,2019-05-01,2019-05-10,62800000,61800000,1,3,4000000,57800000,1,担当者の対応が良かったです。,3,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,2,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,利益の追求。
975,977,977,仙台市太白区,285,中村 孝志,男性,1,54,秋保町長袋字東河原,戸建て,2,3回以上,3,2019-04-08,2019-06-01,2019-06-01,2019-09-01,2019-10-01,2000000,2000000,1,1,1000000,1100000,3,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,少し時間にルーズなところがあり気になりました。
976,978,978,仙北市,318,大山 賢,男性,1,50,西木町西荒井字番屋,マンション,1,初めて,1,2019-05-01,2019-05-30,2019-05-30,2019-08-07,2019-08-07,28000000,32000000,1,1,2000000,29800000,1,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,手数料の値引きなどの交渉が出来ると良かった。
977,979,979,西尾市,1098,加藤 靖浩,男性,1,43,西幡豆町西見影,土地,3,2回目,2,2018-06-13,2018-07-02,2018-07-20,2018-10-06,2018-10-06,400000,400000,0,,,400000,2,担当者の対応が良かったです。,99,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にない。
978,980,980,横手市,317,綿貫 淳子,女性,2,53,十文字町越前字大堰端,戸建て,2,3回以上,3,2018-07-01,2018-08-01,2018-08-01,2019-03-21,2019-03-29,25000000,28500000,0,,,28500000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
979,981,981,奥州市,264,榊原 えみ,女性,2,65,水沢黒石町字沢田,マンション,1,初めて,1,2019-05-01,2019-07-07,2019-10-01,2019-12-04,2020-01-16,22000000,22000000,1,1,2000000,20000000,3,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,全くありません。
980,982,982,由利本荘市,314,藤野 義人,男性,1,61,森子字鎌田尻,土地,3,2回目,2,2018-07-20,2018-07-30,2018-08-06,2018-08-06,2018-08-27,22000000,22000000,0,,,22000000,2,担当者の対応が良かったです。,3,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
981,983,983,上田市,955,栗林 美子,女性,2,51,上田山口,戸建て,2,3回以上,3,2018-07-01,2018-08-01,2018-08-10,2018-10-01,2018-10-15,9800000,10800000,0,,,10800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
982,984,984,海老名市,756,山田 陽子,女性,2,49,門沢橋１丁目,マンション,1,初めて,1,2018-08-25,2018-09-08,2018-09-09,2018-10-14,2018-11-16,12000000,15000000,1,1,1000000,14000000,3,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,打合せ時、支店が駅から離れているのが気になりました。
983,985,985,木津川市,1213,廣瀬 あき,女性,2,46,加茂町岩船三大,土地,3,2回目,2,2018-08-31,2018-09-01,2018-09-01,2018-10-27,2018-11-30,25000000,27000000,0,,,27000000,3,担当者の対応が良かったです。,3,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
984,986,986,由利本荘市,314,古畑 桂,その他・不明,99,65,浜三川字薄暗沢,戸建て,2,3回以上,3,2019-08-04,2019-08-04,2019-08-04,2019-10-27,2019-10-31,1500000,1680000,1,1,1680000,1600000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特に無いです。
985,987,987,角田市,289,原田 裕昭,男性,1,50,尾山字上籾ノ口,マンション,1,初めて,1,2019-07-30,2019-08-01,2019-08-15,2019-12-24,2019-12-24,15000000,18000000,0,,,16800000,1,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
986,988,988,松江市,1434,佐々木 修平,男性,1,41,下東川津町中尾,土地,3,2回目,2,2018-08-25,2018-10-10,2019-01-26,2019-06-10,2019-07-01,12000000,12800000,0,,,12000000,4,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
987,989,989,西東京市,681,結城 久子,女性,2,60,南町３丁目,戸建て,2,3回以上,3,2018-05-01,2018-06-15,2018-07-06,2018-07-13,2018-08-30,9800000,9800000,0,,,9800000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
988,990,990,久慈市,251,伏見 理代,女性,2,61,山形町繋第２地割,マンション,1,初めて,1,2018-07-16,2019-10-01,2019-10-24,2019-12-07,2019-12-07,4000000,4900000,1,1,1000000,3600000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
989,991,991,府中市,668,野田 涼子,女性,2,65,白糸台３丁目,土地,3,2回目,2,2017-06-08,2017-07-19,2017-08-17,2017-09-26,2017-10-19,3400000,3400000,1,18,400000,3000000,3,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,なし。
990,992,992,酒田市,348,亀田 愛子,女性,2,59,小泉字北豊田,戸建て,2,3回以上,3,2018-06-01,2018-07-01,2018-08-01,2019-03-29,2019-03-29,36000000,36000000,1,3,1200000,34800000,2,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
991,993,993,豊橋市,1101,大西 孝行,男性,1,60,向山町字一本松,マンション,1,初めて,1,2018-05-01,2018-06-01,2018-06-01,2018-12-07,2018-12-19,19000000,19000000,1,3,2100000,15500000,1,担当者の対応が良かったです。,6,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,販売活動をお任せしましたが、定期的な書面通知だけでなく、マメに電話での現状報告があれば、まだかまだかとヤキモキすることがなかったのではないかと思います。
992,994,994,伊達市,128,森田 洋,男性,1,56,霊山町上小国字鷹巣,土地,3,2回目,2,2018-03-01,2018-05-01,2018-05-01,2018-07-11,2018-07-11,7000000,8500000,0,,,7700000,1,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,ありません。大変満足しています。
993,995,995,交野市,1239,井上 令子,女性,2,43,郡津４丁目,戸建て,2,3回以上,3,2018-01-05,2018-08-16,2018-09-01,2019-12-12,2019-12-12,4500000,5500000,1,7,500000,4500000,2,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
994,996,996,奥州市,264,元永 勝人,男性,1,42,前沢字竹沢,マンション,1,初めて,1,2018-07-01,2018-07-18,2019-01-26,2019-08-23,2019-10-25,28650000,32000000,1,6,2300000,27000000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,契約申込み時に値下交渉が入ったのですが、売価についてもう少し交渉をしてほしかった。
995,997,997,能代市,324,坂田 伸也,男性,1,58,二ツ井町種字烏帽子形,土地,3,2回目,2,2018-08-01,2018-09-01,2018-09-01,2019-02-28,2019-03-31,4800000,4800000,1,2,4000000,2000000,1,担当者の対応が良かったです。,6,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,なんか書類でミスしたりとかあったり、持ち物がわかりにくかったりがあった。
996,998,998,弘前市,230,山本 沙季,女性,2,46,大字堀越字平山,戸建て,2,3回以上,3,2017-04-16,2018-10-14,2018-10-20,2018-11-18,2019-02-01,30000000,29500000,1,1,1000000,27500000,2,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,字を書くことが多い仕事なので、書類とか残る物なので、字を上手に書ける様にした方が良いと思います。
997,999,999,下松市,1506,山崎 彰人,男性,1,64,大字末武上上地,マンション,1,初めて,1,2018-08-01,2018-10-01,2018-10-02,2019-09-30,2019-09-30,27000000,26000000,0,,,25000000,1,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,店舗がビルの上階なので入りにくい。路面店の方が良い。
998,1000,1000,豊田市,1067,小川 泰章,男性,1,44,大井町県ケ入,土地,3,2回目,2,2018-01-11,2018-01-11,2018-01-11,2019-07-30,2019-09-13,25800000,25800000,1,,,17800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,1,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
